countries,gdp_per_captia,happiness,life_expectancy_men,life_expectancy_women,Suicide rate,,Life average,Men average,Women average
Dominican Republic,"10,743",5.972,73.9,78.8,11.5,,76.35,,
Iran,"5,716",4.707,74.9,78.8,12.1,,76.85,,
Bahrain,"34,734",6.498,75.7,78.8,14.3,,77.25,,
Brunei Darussalam,"78,467",6.298,76.2,78.7,14.4,,77.45,,
Jordan,"5,907",5.081,74.6,78.6,14.3,,76.6,,
El Salvador,"5,012",5.788,74.1,78.4,14.3,,76.25,,
Malta,"29,097",6.141,74.4,78.4,14.5,,76.4,,
Barbados,"21,743",6.189,74.7,78.4,15.4,,76.55,,
Colombia,"6,486",5.805,72.5,78.3,15.4,,75.4,,
Nigeria,"2,009",5.562,73.6,78.3,10.7,,75.95,,
Brazil,"9,581",6.226,72.9,78.2,18.6,,75.55,,
Jamaica,"5,399",5.897,74.1,78.2,14.1,,76.15,,
Marshall Islands,"4,970",5.248,74.4,78.2,16.3,,76.3,,
Guatemala,"4,543",5.703,73.1,78,14.4,,75.55,,
Honduras,"2,939",5.821,72.3,77.6,12.9,,74.95,,
Kazakhstan,"11,420",5.766,71.5,77.3,22.7,,74.4,,
Egypt,"5,311",5.041,73.3,77.3,12.1,,75.3,,
Portugal,"24,027",5.199,72,77.1,13.2,,74.55,,
Belarus,"8,749",5.892,72.2,77,31.4,,74.6,,
Iraq,"4,119",4.739,72.3,77,11.9,,74.65,,
Mozambique,"1,065",5.225,71.1,76.8,10.9,,73.95,,
Montenegro,"7,658",5.497,71.6,76.7,22,,74.15,,
Bulgaria,"7,386",5.687,73.1,76.6,25.3,,74.85,,
Kuwait,"70,976",4.687,70.5,76.5,10.7,,73.5,,
Fiji,"4,638",5.532,71.1,76.5,18.2,,73.8,,
Lebanon,"6,620",5.136,71,76.3,16.7,,73.65,,
Azerbaijan,"6,441",5.129,70.7,75.8,21.1,,73.25,,
Bangladesh,"1,573",4.527,68.5,75.7,10.9,,72.1,,
New Zealand,"43,144",4.643,70.6,75.6,12.8,,73.1,,
Belize,"4,246",5.906,72.2,75.6,21.9,,73.9,,
Bahamas,"22,986",6.591,71.6,75.2,18.5,,73.4,,
Bolivia,"3,005",5.139,69.2,75.1,19.3,,72.15,,
Indonesia,"4,541",5.135,70.3,74.3,13.4,,72.3,,
Comoros,"1,107",4.365,69.6,74.2,15.3,,71.9,,
Bhutan,"3,906",5.075,68.6,73.9,14.3,,71.25,,
Maldives,"8,828",4.525,67.5,73.5,15.5,,70.5,,
Lesotho,"2,303",4.811,67.5,73.3,18.3,,70.4,,
Kiribati,"3,623",4.934,68.5,73.2,16,,70.85,,
Guyana,"3,936",4.654,67.6,72.9,25.6,,70.25,,
Kenya,"1,631",4.471,66,72.3,10.2,,69.15,,
Nepal,"1,184",4.768,67,72.3,15.3,,69.65,,
Cameroon,"2,038",4.639,66.2,72.2,11.5,,69.2,,
Netherlands,"53,582",4.931,66.1,72.1,10.7,,69.1,,
Panama,"11,978",5.194,66.5,72,10.5,,69.25,,
Mexico,"9,481",5.253,66.9,72,10.6,,69.45,,
"Micronesia, Fed. Sts.","3,914",4.532,66.8,71.9,15.8,,69.35,,
"Congo, Rep.","1,856",4.772,65.5,71.7,13.2,,68.6,,
Nauru,"8,928",4.325,66.7,71.5,18.4,,69.1,,
Djibouti,"1,599",4.526,65.7,71.3,14.4,,68.5,,
Eritrea,556,4.906,66.4,71.1,13.1,,68.75,,
India,"2,190",4.527,68.5,70.7,10.5,,69.6,,
Gabon,"9,829",4.991,64.6,70.1,14.6,,67.35,,
Haiti,879,3.766,63.5,70,10.8,,66.75,,
Botswana,"8,779",4.517,62.4,69.9,20.4,,66.15,,
Luxembourg,"118,287",3.979,64,69.3,14,,66.65,,
Ghana,"2,045",4.687,64.7,69.2,10.3,,66.95,,
Equatorial Guinea,"16,758",4.935,64.4,68.8,14.4,,66.6,,
Norway,"75,588",4.348,62.7,68.3,11.1,,65.5,,
Gambia,"1,064",4.421,64.2,68.3,12.2,,66.25,,
Afghanistan,"1,105",3.794,60.6,68.2,20.6,,64.4,,
Mali,"1,078",3.973,64.1,68.2,12.9,,66.15,,
Peru,"6,927",4.739,63.5,67.7,12.7,,65.6,,
Benin,"1,578",4.923,61.1,67.6,12.5,,64.35,,
Ethiopia,793,4.575,64.1,67.6,14,,65.85,,
Guinea,976,4.064,63.2,67.5,13.4,,65.35,,
Canada,"54,087",4.442,61.1,67.2,10.1,,64.15,,
Burkina Faso,"1,302",4.944,59.5,66.9,13.7,,63.2,,
Lithuania,"21,140",3.971,60.6,66.7,27.4,,63.65,,
Mauritania,"1,757",4.354,60.5,66.5,12.7,,63.5,,
Guinea-Bissau,675,3.652,61,66.4,12.5,,63.7,,
Cote d'Ivoire,"2,315",4.664,59.3,66.3,10.4,,62.8,,
Chad,"1,053",4.053,59.9,66.2,15.5,,63.05,,
Burundi,463,3.557,61.8,66.2,15.8,,64,,
"Congo, Dem. Rep.",764,3.462,61.3,65.8,13.8,,63.55,,
Angola,"2,077",4.105,58.1,65.6,20.5,,61.85,,
Central African Republic,751,3.351,57.6,65.2,14.5,,61.4,,
Oman,"19,695",3.357,52.9,55.6,12.9,,54.25,,
